"","country","country_name","type","level","2016","2017","2018"
"1","BE","Belgium","Conventional thermal","Level 1",30728,31316,30092.635
"2","BE","Belgium","Nuclear","Level 1",41430,40128.5,26995.628
"3","BE","Belgium","Hydro","Level 1",1476,1360.9,1239.248
"4","BE","Belgium","Pumped hydro power","Level 2",1110,1093.2,983.19
"5","BE","Belgium","Wind","Level 1",5340,6387.9,7177.346
"6","BE","Belgium","Solar","Level 1",3070,3264.3,3488.979
"7","BE","Belgium","Geothermal","Level 1",0,0,0
"8","BE","Belgium","Other","Level 1",476,490.9,218.509
"9","BG","Bulgaria","Conventional thermal","Level 1",18909,20234.209,19334
"10","BG","Bulgaria","Nuclear","Level 1",14932,14718.368,15290
"11","BG","Bulgaria","Hydro","Level 1",4535,3458.015,4690
"12","BG","Bulgaria","Pumped hydro power","Level 2",619,603.713,987
"13","BG","Bulgaria","Wind","Level 1",1425,1504.063,1326
"14","BG","Bulgaria","Solar","Level 1",1386,1402.766,1043
"15","BG","Bulgaria","Geothermal","Level 1",0,0,0
"16","BG","Bulgaria","Other","Level 1",34,33.882,22
"17","CZ","Czechia","Conventional thermal","Level 1",47817,47246.628,48042.915
"18","CZ","Czechia","Nuclear","Level 1",22727,26785.6,28255.421
"19","CZ","Czechia","Hydro","Level 1",3169,3007.403,2650.153
"20","CZ","Czechia","Pumped hydro power","Level 2",1186,1155.492,1037.317
"21","CZ","Czechia","Wind","Level 1",488,581.917,600.67
"22","CZ","Czechia","Solar","Level 1",2110,2168.74,2317.645
"23","CZ","Czechia","Geothermal","Level 1",0,0,0
"24","CZ","Czechia","Other","Level 1",87,95.478,100.826
"25","DK","Denmark","Conventional thermal","Level 1",15533.149,14104.326,14072.337
"26","DK","Denmark","Nuclear","Level 1",0,0,0
"27","DK","Denmark","Hydro","Level 1",19.272,17.871,14.929
"28","DK","Denmark","Pumped hydro power","Level 2",0,0,0
"29","DK","Denmark","Wind","Level 1",12781.731,14780,13898.806
"30","DK","Denmark","Solar","Level 1",743.78,751.485,952.973
"31","DK","Denmark","Geothermal","Level 1",0,0,0
"32","DK","Denmark","Other","Level 1",0,0,0.044
"33","DE","Germany","Conventional thermal","Level 1",390141,376128,320437.701
"34","DE","Germany","Nuclear","Level 1",80038,72155,72274.133
"35","DE","Germany","Hydro","Level 1",25690,25888,20041.878
"36","DE","Germany","Pumped hydro power","Level 2",5451,5910,6661.083
"37","DE","Germany","Wind","Level 1",78218,103707,112174
"38","DE","Germany","Solar","Level 1",38098,39401,46184
"39","DE","Germany","Geothermal","Level 1",165,157,165.25
"40","DE","Germany","Other","Level 1",1805,1623,522.751
"41","EE","Estonia","Conventional thermal","Level 1",9795,10485,10170.043
"42","EE","Estonia","Nuclear","Level 1",0,0,0
"43","EE","Estonia","Hydro","Level 1",35,26,18.2
"44","EE","Estonia","Pumped hydro power","Level 2",0,0,0
"45","EE","Estonia","Wind","Level 1",594,723,645.9
"46","EE","Estonia","Solar","Level 1",0,0,0
"47","EE","Estonia","Geothermal","Level 1",0,0,0
"48","EE","Estonia","Other","Level 1",0,0,0
"49","IE","Ireland","Conventional thermal","Level 1",22571.711,21745.666,19963.734
"50","IE","Ireland","Nuclear","Level 1",0,0,0
"51","IE","Ireland","Hydro","Level 1",962.861,885.765,921.979
"52","IE","Ireland","Pumped hydro power","Level 2",288.676,201.184,234.936
"53","IE","Ireland","Wind","Level 1",6148.508,7444.742,8349.172
"54","IE","Ireland","Solar","Level 1",6.16,10.801,0
"55","IE","Ireland","Geothermal","Level 1",0,0,0
"56","IE","Ireland","Other","Level 1",0,0,0
"57","EL","Greece","Conventional thermal","Level 1",35586,37021.751,34803.244
"58","EL","Greece","Nuclear","Level 1",0,0,0
"59","EL","Greece","Hydro","Level 1",5565,4039,5802.417
"60","EL","Greece","Pumped hydro power","Level 2",22,77.259,636.1
"61","EL","Greece","Wind","Level 1",5146,5536.987,6300.26
"62","EL","Greece","Solar","Level 1",3930,3991.477,3792.038
"63","EL","Greece","Geothermal","Level 1",0,0,0
"64","EL","Greece","Other","Level 1",0,0,10.99
"65","ES","Spain","Conventional thermal","Level 1",108210,126885,110084.238
"66","ES","Spain","Nuclear","Level 1",56100,55540,53270.8
"67","ES","Spain","Hydro","Level 1",39180,20708,36083.636
"68","ES","Spain","Pumped hydro power","Level 2",3410,2249,2009.408
"69","ES","Spain","Wind","Level 1",47712,47929,49495.207
"70","ES","Spain","Solar","Level 1",13051,13778,12137.315
"71","ES","Spain","Geothermal","Level 1",0,0,0
"72","ES","Spain","Other","Level 1",91,78,0
"73","FR","France","Conventional thermal","Level 1",60607.854,68922.949,53956.44
"74","FR","France","Nuclear","Level 1",384008.125,379093.955,393153.254
"75","FR","France","Hydro","Level 1",64879.956,54432.864,68706.552
"76","FR","France","Pumped hydro power","Level 2",4786.979,5070.791,9082.043
"77","FR","France","Wind","Level 1",21472.916,24710.749,26134.02
"78","FR","France","Solar","Level 1",8657.27,9572.843,9651.478
"79","FR","France","Geothermal","Level 1",87.933,119.937,84.084
"80","FR","France","Other","Level 1",559.515,673.71,0
"81","HR","Croatia","Conventional thermal","Level 1",4241,4808,4155.654
"82","HR","Croatia","Nuclear","Level 1",0,0,0
"83","HR","Croatia","Hydro","Level 1",6967,5437.8,7681.337
"84","HR","Croatia","Pumped hydro power","Level 2",205,200.3,583.988
