1,"CHF 3,450.–60m22.5rmTopMühlebachstrasse, 8008 ZurichIn addition to a new box spring bed, a newly renovated kitchen with dishwasher and 2 balconies, this apartment impresses with its absolutely ingenious location near Opera and Bellevue. Balcony view's of both city and mountain sunsets from your couch. This apartment is bright and airy. Summertime breeze and views of the mountains make this home a year round vacation feeling. Laundry, Two large balconies, Bath/Shower combo and lots of storage in the kitchen.Environment: In the beautiful Seefeld and very close to the Opera and Bellevue. A three-minute walk to Stadelhofen train station and thus also to Lake Zurich. You can park in the blue zone. 5 different Park's just a few blocks from your apartment. Local cafe's and walking distance to the lake for a swim/hike/walk. Location, Location, Location.Neben einem neuen Boxspringbett, einer neu renovierten Küche mit Geschirrspüler und 2 Balkonen besticht dieses Apartment durch seine absolut geniale Lage in der Nähe von Opera und Bellevue. Von Ihrer Couch aus haben Sie einen Balkon mit Blick auf die Sonnenuntergänge der Stadt und der Berge. Diese Wohnung ist hell und luftig. Sommerbrise und Blick auf die Berge machen dieses Haus zu einem ganzjährigen Urlaubsgefühl. Wäscherei, zwei große Balkone, Bad / Dusche-Kombination und viel Stauraum in der Küche.Umgebung: Im schönen Seefeld und ganz in der Nähe von Oper und Bellevue. Drei Minuten zu Fuß zum Bahnhof Stadelhofen und damit auch zum Zürichsee. Sie können in der blauen Zone parken. 5 verschiedene Parks sind nur ein paar Blocks von Ihrer Wohnung entfernt. Lokale Cafés und zu Fuß zum See zum Schwimmen / Wandern / Spazierengehen. Standort, Standort, Standort. Contact "
2,"CHF 3,400.–24m21rmTopClaridenstrasse 30, 8002 ZürichKomfort ZimmerGENIESSEN SIE DIE ZEIT IN UNSEREN ZIMMER DIREKT IM ZENTRUM VON ZÜRICHDas stilvolle 24m² Komfortzimmer verfügt über ein Bett (1.80m) mit Individuell einstellbarer Härtegrad – je nach Vorliebe, Lebenssituation und Bedarf.. Das grosszügige Zimmer ist mit exklusiven Möbeln aus regionalen Materialien und moderner technischer Einrichtungen ausgestattet und versprüht zeitlose Eleganz. Als Einzel- Doppel- oder Dreibettzimmer buchbar. Bei dem 3. Bett handelt es sich um ein Zustellbett.UNSERE komfort zimmer • Ruhige & überdurchschnittlich grosse Zimmer mit massgeschneiderten Möbeln aus Nussbaum von regionalen Handwerkern • Schlafsystem mit verstellbarem Härtegrad • Air Condition • Hispeed WLAN • Safe • Kaffeemaschine mit kompostierbaren Kaffeekapseln und Kaffee aus fairem & biologischem Anbau • Flasche Schweizer Welcome Wasser • Tablet • Flatscreen Fernseher • Grosser Pult • Badezimmer mit Badewanne in Tessiner Marmoreinrichtung • Haarföhn, natürliche Pflegeprodukte mit kompostierbaren Verpackungen, Slipper und Amenity Kit in allen Badezimmer Contact "
3,"CHF 3,825.–31m21rmTopClaridenstrasse 30, 8002 ZürichLangzeitmiete eines Hotelzimmer zum Spezialpreis mit Hotelservice. Relax ZimmerGENIESSEN SIE DIE ZEIT IN UNSEREN ZIMMER DIREKT IM ZENTRUM VON ZÜRICHIn diesem geräumigen 31m² grossen Zimmer mit einem Doppelbett (1.80m) mit individuell verstellbaren Härtegrat. werden Sie mit zeitgemässem und hochwertigem Komfort verwöhnt. Die grosszügige Sitzgruppe lädt zum ""Relaxen"" oder zum Businessgespräch ein. Mit elegantem Granit ""Raggio di Luna"" ausgestattetes Badezimmer und separates WC sowie moderner technischer Einrichtung.Als Einzel- oder Doppelzimmer verfügbar. Mit ausgezogenem Schlafsofa als Variante für Familien mit Kindern (3-4 Personen). UNSERE relax zimmer • Ruhige & überdurchschnittlich grosse Zimmer mit massgeschneiderten Möbeln aus Nussbaum von regionalen Handwerkern • Gemütliche Sitzgruppe • Schlafsystem mit verstellbarem Härtegrad • Air Condition • Hispeed WLAN • Safe • Kaffeemaschine mit kompostierbaren Kaffeekapseln und Kaffee aus fairem & biologischem Anbau • Flasche Schweizer Welcome Wasser • Tablet • Flatscreen Fernseher • Grosser Pult • Badezimmer mit Badewanne in Tessiner Marmoreinrichtung • Separates WC • Haarföhn, natürliche Pflegeprodukte mit kompostierbaren Verpackungen, Slipper und Amenity Kit in allen Badezimmer https://www.hotelglaernischhof.ch/de/zimmer/relax-zimmer/ Contact "
4,"CHF 2,810.–69m22.5rmTopGermaniastrasse 51, 8006 ZürichDie Dachwohnung im Jugendstil liegt an ruhiger und wunderschöner Lage am Züriberg. Die im Jahr 2009 sanirte Wohnung bietet neben einem grosszügigen Grundriss folgende Annehmlichkeiten: • hochwertige Parkett- und Plattenböden • eine moderne Küche • Ensuite Bad mit eigenem Waschturm • separates Gäste-WC • Einbauschränke im Eingangsbereich • Estrichabteil Geniessen Sie die atemberaubende Aussicht über die ganze Stadt Zürich bis hin zum Zürichsee. Der Allgemein nutzbare und unterteilbare Gartenbereich mit Sitzplätzen lädt zu erholsamen Stunden ein. Die Liegenschaft befindet sich in der unmittelbaren Nähe der Seilbahn Rigiblick. Zusätzlich ist die Gegend ideal für Sport- und Freizeitaktivitäten. Contact "
5,"CHF 2,900.–90m23.5rmTop8006 ZürichZu vermieten in sehr schöner gepflegter Liegenschaft 3 1/2 Zimmerwohnung (ca. 90 m2) mit schönem Gartensitzplatz und einem separaten Ankleidezimmer. (Der Wald ist ganz in der Nähe oder der Park, Naherholungsgebiet)Ausbau: Marmorböden, Cheminee, Glaskeramik-Kochherd in der offenen Küche, Gäste-WC, Bad mit Wanne & Dusche, Gegensprechanlage mit Monitor, Lift, 1 separater grosser Kellerraum (mit Türe zum abschliessen) ISDN-Anschluss.Gerne hätten wir ein ruhiges Ehepaar .Der Tiefgaragenplatz kann für Fr. 200.-- dazu gemietet werden, falls erwünscht. Contact "
6,"CHF 6,500.–148m24.5rmTopSpiegelhofstrasse 52, 8032 ZürichDas Haus kann erst ab anfangs September besichtigt werden da es erst Ende Oktober fertiggestellt sein wird.Broschüre im Anhang Contact "
7,"Price on request350m25.5rmTopSonnenbergstrasse, 8032 ZürichSehr modern. Sehr privat. Sehr grosszügig. Bei dieser 51/2 Zimmer Duplex-Wohnung sind die Steigerungsformen durchaus angebracht. Gelegen im renommierten Dolder-Quartier verwöhnt sie ihre Bewohner mit 350 Quadratmetern Wohnfläche und 490 Quadratmetern Gartenanteil zur alleinigen Nutzung. Nähe zu Stadt, Wald und Flughafen inklusive.Das einzigartige, frisch renovierte Mietobjekt gehört zu einem Zweifamilienhaus, besitzt aber einen eigenen Eingang. Von den 3 Garagenplätzen in der Tiefgarage führt ein direkter Zugang in die Wohnung. Ein Lift verbindet alle Etagen. Kunstliebhaber werden sich über die grossen Wände freuen, die viel Platz für ihre Kunstsammlung bieten.Details finden Sie im beigelegten Grundriss. Wenn Sie sich angesprochen fühlen, melden Sie sich bitte per Telefon oder Email bei Crossborders AG.Telefon 044 368 82 82 oder unter <huwiler@crossborders.ch>Wir werden Ihnen dieses sofort bezugsbereite Unikat gerne zeigen. Contact "
8,"CHF 1,520.–45m22.5rmTopKäferholzstrasse 244, 8046 Zürich""Befristete Wohnung am Käferberg, sonnige, ruhige Lage mit Aussicht""Wir vermieten diese Wohnung ab 1.7.2021 oder nach Vereinbarung. Der Mietvertrag wird befristet ausgestellt und endet ca. zum 1.4.2022 infolge geplantes Neubauprojekt. Der übliche mtl. Mietzins von Fr. 1'620.00 inkl. NK gewähren wir Ihnen aufgrund der Befristung einen Mietzinsrabatt von Fr. 100.00, der mtl. Mietzins ist neu Fr. 1'520.00 inkl. NK. Die Neben-Heizkosten sind pauschal. Es sind momentan keine Fotos der Wohnung vorhanden, diese folgen. (Die inserierten Fotos sind nur ein Anhaltspunkt um einen Eindruck zu gewinnen, wie diese ca. aussieht) Die Wohnung ist gut gelegen, hell, sauber mit Aussicht auf Oerlikon und Wald Käferberg. Die Wohnung verfügt über einen Balkon. Wohn-Schlafzimmer Parkett, Küche (letzte Renovation 2009) mit funktionstüchtigen Küchengeräte und Armaturen, Bad mit Badewanne sowie sep. WC. Es werden keine Renovierungsarbeiten mehr ausgeführt bei der Vermietung. Die Wohnung ist im allgemeinen guten Zustand.Gemütlicher Garten-/BBQ-Sitzplatz hinter Haus/Zur Mitbenützung Waschküche mit Waschmaschine und Trockentumbler.Verschiedene Einkaufsmöglichkeiten, Haltestellen der Buslinien 32, 61 und 62 sind nur ca. 50/200 Meter entfernt. Ca. 15 Min. bis Zürcher Flughafen und ca. 20 Min. von der Zürcher Innenstadt entfernt.Zahlreiche Natur- und Ausflugsmöglichkeiten in direkter Nachbarschaft.Parkplatz nur blaue Zone vorhandenHabe wir Interesse geweckt, rufe Sie uns an für einen Besichtigungstermin Telefon 044 844 12 70 Contact "
9,"CHF 2,974.–107m23.5rmTopImbisbühlstrasse 108, 8049 ZürichModerne Wohnung mit exklusiver und grosszügiger Raumgestaltung und bis zu 3 Metern Raumhöhe. Bereits beim Eintritt ins Gebäude werden Sie überrascht von der offenen Architektur, gleich einer Hotel Lobby!Dieses Objekt verfügt über den folgenden Ausbaustandard:- Wohnbereich mit Eichenparkettboden (matt versiegelt)- Schlafbereich mit Eichenparkettboden (matt versiegelt)- offene Küche mit schwarzen Feinsteinzeugfliesen - Küchenfronten in weiss- Abdeckung schwarzer Quarzstein - Glaskeramikherd und Geschirrspüler- Backofen mit Steamer- Bad/WC mit schwarzen Feinsteinzeugfliesen- Bad und Dusche mit goldig schimmernden Farbakzenten- Réduit mit eigenem Waschturm- Elektrische Storen- Lift - Kellerabteil- Gedeckte Loggia (ca.19m2) - Minergie-Baustandard mit integrierter KomfortlüftungDie Wohnung wir befristet für 1 Jahr vermietet.Die Bilder zeigen lediglich den Ausbaustandard der Wohnung. Die genaue Raumaufteilung entnehmen Sie bitte dem Grundrissplan. Einstellplätze in der Tiefgarage können für CHF 150.00 pro Monat dazu gemietet werden.Das Oberstufenschulhaus Lachenzelg befindet sich direkt bei der Liegenschaft und das Primarschulhaus Pünten mit Kindergarten ist keine 200 m entfernt.Einkaufsmöglichkeiten wie Migros, Coop und verschiedene weitere Dienstanbieter finden Sie im Höngger Dorfkern. Die Haltestellen ""Winzerstrasse"" und ""Segantinistrasse"" befinden sich ca. 5 Gehminuten entfernt. Die Linien 13, 46 und 80 bringen Sie in die City und nach Oerlikon bzw. Altstetten.Die nahegelegene ""Werdinsel"" sowie das Limmatufer laden ein zum Spazieren, Grillieren oder gar zum Baden. Entspricht diese schöne Wohnung Ihren Vorstellungen?Dann zögern Sie nicht lange und kontaktieren Sie uns direkt im Inserat via ""Anbieter kontaktieren"", um die Besichtigungsinformationen zu erhaltenWir freuen uns auf Ihre digitale Bewerbung nach der Besichtigung. Contact "
10,"CHF 3,550.–88m23.5rmTopLeutschenbachstrasse 40, 8050 ZürichPer sofort oder nach Vereinbarung vermieten wir eine helle und elegante 3.5 Zimmer Wohnung (87.7m²) im 18. Geschoss mit Loggia (8.3m²) im höchsten der drei WolkenWerk Türme. Der Neubau befindet sich in einem ruhigem Teil Oerlikons, einem historischen und trotzdem sehr modernen Kreis der Stadt Zürich.Die Wohnung bietet folgende Ausstattung und Annehmlichkeiten:· Nach West-und Nordwest ausgerichtet (Nachmittags- und Abendsonne)· Beeindruckende Fernsicht über die Stadt und ihre grüne Umgebung· Raumhöhe von bis zu 2.60 m · Parkettböden aus Massivholz· Offene Küche mit Haushaltsgeräten von höchstem Standard· Zwei Nasszellen mit Badewanne/Dusche inkl. eigener Waschmaschine und Tumbler· Eigenes Kellerabteil· Ein Tiefgaragen-Parkplatz mit Elektroladung kann auf Wunsch gemietet werden (250 CHF/Monat)Als gemeinschaftlich nutzbare Flächen stehen Fahrradkeller und Trocknungsräume zur Verfügung. Nebst dem WolkenWerkPark haben die Bewohner zudem exklusiv Zugang zu einem Terrassengarten und zur Skylounge auf dem Dach des Gebäudes, die einen einzigartigen Ausblick bis hin zu den Alpen bietet.Tramhaltestellen und der Bahnhof Oerlikon befinden sich in unmittelbarer Nähe. Bequem per Tram oder Bahn sind der Flughafen Zürich oder der Hauptbahnhof innerhalb von nur 10 Minuten Fahrt erreichbar. Als historisch gewachsenes Zentrum verfügt Oerlikon über ein eigenes lebendiges Stadtleben mit zahlreichen Einkaufs-, Sport- und Kultureinrichtungen.Bright and elegant 2 bedroom apartment (87.7m²/944 ft²) with two bathrooms and a loggia (8.3m²/89.34 ft²) on the 18th floor of the tallest of the three WolkenWerk towers. The new residential building is located in a quiet area of Oerlikon, a historical and yet modern district of Zurich.The apartment offers the following amenities:- North-/North-West facing (afternoon and evening sun)- Great view over the city and its green surroundings- 2.60m/8.53 ft high ceilings- Superior inlaid wood flooring- Open-plan kitchen with highest-quality appliances- Two bath-rooms incl. washing dryer combo- Separate cellar compartment- Available on demand: Covered parking with electrical charging station (250 CHF/month)Residents have access to shared bicycle and drying rooms. The building has its own park, and exclusively for residents, a terrace garden and the roof-top Skylounge with a spectacular panoramic view as far as the Alps.Tram stops and the railway station of Zürich-Oerlikon are in walking proximity. The airport can be comfortably reached by tram or train in just 10 minutes. As a historically grown district Oerlikon displays a lively urban life with many shopping, sports and entertainment facilities. Contact "
