"","address","latitude","longitude"
"1",". Zürich, Switzerland",47.3744489,8.5410422
"2","Bernerstrasse Süd 167/169, 8048  Zürich, Switzerland",47.3945061,8.4872246
"3","Idastrasse 5, 8003  Zürich, Switzerland",47.37221855,8.5159592846013
"4","Dufourstrasse 96, 8008  Zürich, Switzerland",47.3592584,8.55105801145669
"5","Mühlebachstrasse, 8008  Zürich, Switzerland",47.356407,8.5588742
"6","Lintheschergasse 21, 8001  Zürich, Switzerland",47.3766974,8.5388369
"7","Münstergasse 10, 8001  Zürich, Switzerland",47.3711049,8.54440443075084
"8","Weite G. 7, 8001  Zürich, Switzerland",47.3684725,8.5450977
"9","Schifflände, 8001  Zürich, Switzerland",47.369447,8.543571
"10","Claridenstrasse 30, 8002  Zürich, Switzerland",47.3675057,8.5374869
"11","Claridenstrasse 30, 8002  Zürich, Switzerland",47.3675057,8.5374869
"12","Weststrasse 160, 8003  Zürich, Switzerland",47.3744544,8.5169933
"13","Zentralstrasse 125, 8003  Zürich, Switzerland",47.37465145,8.51570749966983
"14","Elisabethenstrasse 6, 8004  Zürich, Switzerland",47.3727374,8.5230839
"15","Pflanzschulstrasse 51, 8004  Zürich, Switzerland",47.376688,8.5202614
"16","Turbinenstrasse 39, 8005  Zürich, Switzerland",47.3865534,8.5144427
"17","Josefstrasse 130,  Zürich, Switzerland",47.3842866,8.52877060337535
"18","Förrlibuckstrasse 229, 8005  Zürich, Switzerland",47.39204805,8.5068528519674
"19","Universitätstrasse 33, 8006  Zürich, Switzerland",47.3797913,8.54790365137056
"20","Clausiussteig, 8006  Zürich, Switzerland",47.3793157,8.5468679
"21","Kurvenstrasse 21, 8006  Zürich, Switzerland",47.38464565,8.54207497458062
"22","Bernerstrasse Süd 167/169, 8048  Zürich, Switzerland",47.3945061,8.4872246
"23","Idastrasse 5, 8003  Zürich, Switzerland",47.37221855,8.5159592846013
"24","Dufourstrasse 96, 8008  Zürich, Switzerland",47.3592584,8.55105801145669
"25","Mühlebachstrasse, 8008  Zürich, Switzerland",47.356407,8.5588742
"26","Lintheschergasse 21, 8001  Zürich, Switzerland",47.3766974,8.5388369
"27","Münstergasse 10, 8001  Zürich, Switzerland",47.3711049,8.54440443075084
"28","Weite G. 7, 8001  Zürich, Switzerland",47.3684725,8.5450977
"29","Schifflände, 8001  Zürich, Switzerland",47.369447,8.543571
"30","Claridenstrasse 30, 8002  Zürich, Switzerland",47.3675057,8.5374869
"31","Claridenstrasse 30, 8002  Zürich, Switzerland",47.3675057,8.5374869
"32","Weststrasse 160, 8003  Zürich, Switzerland",47.3744544,8.5169933
"33","Zentralstrasse 125, 8003  Zürich, Switzerland",47.37465145,8.51570749966983
"34","Elisabethenstrasse 6, 8004  Zürich, Switzerland",47.3727374,8.5230839
"35","Pflanzschulstrasse 51, 8004  Zürich, Switzerland",47.376688,8.5202614
"36","Turbinenstrasse 39, 8005  Zürich, Switzerland",47.3865534,8.5144427
"37","Josefstrasse 130,  Zürich, Switzerland",47.3842866,8.52877060337535
"38","Förrlibuckstrasse 229, 8005  Zürich, Switzerland",47.39204805,8.5068528519674
"39","Universitätstrasse 33, 8006  Zürich, Switzerland",47.3797913,8.54790365137056
"40","Clausiussteig, 8006  Zürich, Switzerland",47.3793157,8.5468679
"41","Kurvenstrasse 21, 8006  Zürich, Switzerland",47.38464565,8.54207497458062
"42","aniastrasse 51, 8006  Zürich, Switzerland",NA,NA
"43","8006  Zürich, Switzerland",47.3861987598469,8.54503384211701
"44","Rotbuchstrasse 3, 8006  Zürich, Switzerland",47.39115785,8.5380306
"45","Neumünsterstrasse 34, 8008  Zürich, Switzerland",47.3616108,8.5602858
"46","Hegibachstrasse 51, 8032  Zürich, Switzerland",47.36346165,8.5641344
"47","8032  Zürich, Switzerland",47.366731258805,8.56194358855181
"48","Spiegelhofstrasse 52, 8032  Zürich, Switzerland",47.3735038,8.559885164
"49","Sonnenbergstrasse, 8032  Zürich, Switzerland",47.3688546,8.5657503
"50","Frymannstrasse, 28, 8041  Zürich, Switzerland",47.33556865,8.51766336855948
"51","Wehntalerstrasse 582, 8046  Zürich, Switzerland",47.42043855,8.50393755984492
"52","Käferholzstrasse 244, 8046  Zürich, Switzerland",47.41012095,8.52477905417654
"53","Anemonenstrasse 40 F, 8047  Zürich, Switzerland",47.3808077,8.4955647
"54","Dachslernstrasse 85A, 8048  Zürich, Switzerland",47.39080345,8.47382385888031
"55","Dachslernstrasse 85A, 8048  Zürich, Switzerland",47.39080345,8.47382385888031
"56","Badenerstrasse 753, 8048  Zürich, Switzerland",47.3909982,8.47838190438452
"57","Zwyssigstrasse 10, 8048  Zürich, Switzerland",47.38367045,8.48470547150735
"58","Schneebeliweg 1, 8048  Zürich, Switzerland",47.3845464,8.4828834
"59","Dachslernstrasse 85A, 8048  Zürich, Switzerland",47.39080345,8.47382385888031
"60","Bombachsteig 12, 8049  Zürich, Switzerland",47.4040146,8.48973825359474
"61","Imbisbühlstrasse 108, 8049  Zürich, Switzerland",47.4023631,8.4956366
"62","Tobeleggweg 22, 8049  Zürich, Switzerland",47.39759545,8.50288180696871
"63","Eggbühlstrasse 8, 8050  Zürich, Switzerland",47.41647265,8.5443313
"64","Leutschenbachstrasse 50/50a, 8050  Zürich, Switzerland",47.4145426,8.5530539
"65","Schaffhauserstrasse 299, 8050  Zürich, Switzerland",47.40622595,8.54813124634545
"66","Schaffhauserstrasse 299, 8050  Zürich, Switzerland",47.40622595,8.54813124634545
"67","Wallisellenstrasse 389, 8050  Zürich, Switzerland",47.4113559,8.56586812377543
"68","Leutschenbachstrasse 30 - B1206, 8050  Zürich, Switzerland",NA,NA
"69","Leutschenbachstrasse 40, 8050  Zürich, Switzerland",47.4157099,8.5544499
"70","Schwamendingenstrasse 11, 8050  Zürich, Switzerland",47.4081383,8.5474312
"71","Siewerdtstrasse 15, 8050  Zürich, Switzerland",47.41239075,8.54846515805014
