STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/1/2001,4.03,234,255,0,,,42,50,34,,130,120,0,15,16.1,,,,,,,,,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/2/2001,4.7,933,932,0,,,47,55,39,,110,110,0,17,21,1,1,,,,,,,,,1,,,,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/3/2001,6.04,1639,1637,0.36,,,45,49,40,,220,220,0,13,17.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/4/2001,5.14,1839,1824,0.6,,,50,55,45,,150,160,0,17.9,23,1,,,,,,,,,,1,,,1,,,,1,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/5/2001,12.3,117,117,0.21,,,46,52,40,,230,240,0,25.9,38,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/6/2001,9.17,1359,1633,0,,,41,46,36,,10,30,0,17.9,21,1,,,,,,,,,,1,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/7/2001,10.29,1949,1946,0,,,46,57,34,,120,130,0,21,25.1,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/8/2001,6.93,1712,1703,0.05,,,44,51,37,,200,200,0,16.1,19.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/9/2001,5.14,1617,1616,0.03,,,41,49,33,,210,210,0,21.9,25.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/10/2001,10.29,2325,2054,0,,,46,51,41,,110,100,0,21,25.9,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/11/2001,6.71,41,41,0,,,46,50,41,0,120,130,0,19.9,23.9,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/12/2001,4.03,2344,2347,0,,,42,44,39,0,200,200,0,8.9,12.1,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/13/2001,4.25,742,741,0.06,,,39,41,37,0,210,200,0,10.1,13,1,,,,,,,,,,1,1,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/14/2001,3.36,1133,1132,0.01,,,39,41,37,0,160,170,0,8.1,8.9,1,,,,,,,,,,1,1,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/15/2001,5.37,1331,1253,0,,,36,42,30,,30,50,0,12.1,15,1,1,,,,,,,,,1,,,1,,,,,1,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/16/2001,2.46,1307,1245,0,,,33,39,27,,110,130,0,8.1,8.9,1,1,,,,,,,,,1,,,,,,,,1,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/17/2001,2.46,36,422,0.08,,,34,40,28,,150,120,0,8.9,8.9,1,1,,,,,,,,,1,,,1,,,,,1,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/18/2001,4.03,1907,1907,0.16,,,41,43,39,,120,120,0,14.1,15,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/19/2001,7.83,1229,1228,0.04,,,43,48,37,,200,200,0,16.1,19.9,1,,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/20/2001,6.04,1440,1441,0.01,,,43,48,37,,110,100,0,16.1,19.9,,,,,,,,,,,,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/21/2001,5.82,247,249,0.76,,,43,45,40,,90,100,0,16.1,17.9,1,1,,,,,,,,,1,,,1,,,,,,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1/22/2001,6.93,2302,2301,0,,,44,53,34,,100,110,0,17,21.9,1,1,,,,,,,,,1,,,,,,,,,,
